ITEM,Item,BANK,Bank,COU,Country,YEA,Year,Value,Flag Codes,Flags
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,4974.45,4974.452009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,59.828.923,598289232009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,500.06,500.062009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,500.5,500.52009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,50107.93,50107.932009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,50185.15,50185.152009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,502680.39,502680.392009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,502796.28,502796.282009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5030.54,5030.542009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5045.81,5045.812009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,506.64,506.642009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,50688.61,50688.612009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,507170.38,507170.382009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5083.97,5083.972009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,50964.5,50964.52009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,51046.81,51046.812009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,511.98,511.982009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,511.98,511.982009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,512812.74,512812.742009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,51286.06,51286.062009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,51336.6,51336.62009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,513716.7,513716.72009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,51547.7,51547.72009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,51549.8,51549.82009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,51554.1,51554.12009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,516.9,516.92009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5178469.49,5178469.492009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,519.9,519.92009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,519971.15,519971.152009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,52.41,52.412009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,52.81,52.812009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,52.84,52.842009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5217.84,5217.842009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,522806.13,522806.132009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5230.74,5230.742009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,523996.34,523996.342009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,525058.72,525058.722009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5251.98,5251.982009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,525145.45,525145.452009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,52545.3,52545.32009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5260.58,5260.582009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,526729.83,526729.832009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,527392.91,527392.912009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,527619.84,527619.842009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5280.19,5280.192009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5289.86,5289.862009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5316.98,5316.982009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,531777.31,531777.312009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,53209.6,53209.62009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5321179.81,5321179.812009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,532203.16,532203.162009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,53291.75,53291.752009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,533.1,533.12009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5334.42,5334.422009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,53375.3,53375.32009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,537226.31,537226.312009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,538472.4,538472.42009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,539.07,539.072009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,539993.59,539993.592009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,54039.42,54039.422009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,542870.87,542870.872009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,544054.27,544054.272009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5442.19,5442.192009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5458.71,5458.712009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,54585.17,54585.172009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,549517.83,549517.832009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,54969.6,54969.62009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5504.63,5504.632009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,55095.5,55095.52009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,5510.62,5510.622009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,55295.51,55295.512009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,55311.1,55311.12009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,55563.17,55563.172009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,555902.32,555902.322009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,55847.15,55847.152009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,56.86,56.862009,All banksUSA
SI38TE,8.c. Other net provisions,ALL,All banks,USA,United States,2009,2009,560.47,560.472009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,561305.13,561305.132009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,56194.4,56194.42009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,562448.9,562448.92009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,562792.68,562792.682009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5651.93,5651.932009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5656.14,5656.142009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5656.93,5656.932009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,56647.15,56647.152009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5667.29,5667.292009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,567408.35,567408.352009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,56979.67,56979.672009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,569983.7,569983.72009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,57187.92,57187.922009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,572346.17,572346.172009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,57485.8,57485.82009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,576669.74,576669.742009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,577.82,577.822009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,57877990.72,57877990.722009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5791.78,5791.782009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,58236.44,58236.442009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5832.17,5832.172009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5834.99,5834.992009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5835.23,5835.232009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5839.33,5839.332009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,58473.51,58473.512009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,58567.3,58567.32009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5859125.89,5859125.892009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,586425.4,586425.42009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,58666.81,58666.812009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,59008.17,59008.172009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,591267.47,591267.472009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5918.83,5918.832009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,59205.7,59205.72009,All banksUSA
SI38TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,592138.15,592138.152009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,59256.5,59256.52009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,594.2,594.22009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,59434.98,59434.982009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,594749.77,594749.772009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5972.36,5972.362009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5976.26,5976.262009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,5978.16,5978.162009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,59880.12,59880.122009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,59923.07,59923.072009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,601618.53,601618.532009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,60340.31,60340.312009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,606.42,606.422009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,606627.01,606627.012009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,606834.77,606834.772009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,606980.7,606980.72009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,607521.95,607521.952009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,607605.51,607605.512009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6092005.4,6092005.42009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6092005.4,6092005.42009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,61176.8,61176.82009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,612266.17,612266.172009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,61430.9,61430.92009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,61587.8,61587.82009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,61685.35,61685.352009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6175.97,6175.972009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,619130.1,619130.12009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,62.38,62.382009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,62055.1,62055.12009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,62614.7,62614.72009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,62629.6,62629.62009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,62634.7,62634.72009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6284.27,6284.272009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,628740.48,628740.482009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,633640.21,633640.212009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,634.6,634.62009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6344.55,6344.552009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,635.5,635.52009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,63566.33,63566.332009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6387.95,6387.952009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,63901.77,63901.772009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6402652.48,6402652.482009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,642.92,642.922009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,642226.58,642226.582009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,64790.06,64790.062009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6482.31,6482.312009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6495089.83,6495089.832009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,650.99,650.992009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,65042.09,65042.092009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,65668.97,65668.972009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6588.79,6588.792009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,65897.17,65897.172009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,659539.96,659539.962009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,66017.1,66017.12009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6606266.05,6606266.052009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,66343.03,66343.032009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6638.78,6638.782009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,666001.35,666001.352009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,667165.9,667165.92009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,66724.6,66724.62009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,66788.9,66788.92009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,668.51,668.512009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,669914.93,669914.932009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,671.7,671.72009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,67178.95,67178.952009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,672.58,672.582009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6732.15,6732.152009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,673451.33,673451.332009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6742.82,6742.822009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,67496.03,67496.032009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,676849.14,676849.142009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6772.18,6772.182009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,677936.29,677936.292009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,678.7,678.72009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6805.54,6805.542009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,682.1,682.12009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,684.17,684.172009,All banksUSA
